kingdom	phylum	class	order	family	genus	binomial	statut	category	populationTrend	code	name	Occurs in at least one protected area	Note
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon jubatus	endemic	EN	Decreasing	3.1.2	Trade management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon jubatus	endemic	EN	Decreasing	3.1.1	Harvest management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon jubatus	endemic	EN	Decreasing	5.1.2	National level	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon jubatus	endemic	EN	Decreasing	5.4.3	Sub-national level	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon jubatus	endemic	EN	Decreasing	4.1	Formal education	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon jubatus	endemic	EN	Decreasing	5.4.2	National level	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	5.4.2	National level	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	2.1	Site/area management	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	3.1.1	Harvest management	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	1.1	Site/area protection	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	3.2	Species recovery	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	4.3	Awareness & communications	YES	
