"ULM_ID" "REGION" "COUNTRYISO" "COUNTRY" "ARCHIP" "ISLAND" "LONG" "LAT" "Area"
10912 "Caribbean Islands" "VEN" "Venezuela" "West Indies" "Isla de Margarita" -64.050493 11.001151 947.12
10928 "Caribbean Islands" "TTO" "Trinidad and Tobago" "West Indies" "Tobago" -60.666351 11.241491 308.31
11050 "Caribbean Islands" "GRD" "Grenada" "West Indies" "Grenada" -61.683776 12.113748 316.62
11107 "Caribbean Islands" "ABW" "Aruba" "West Indies" "Aruba" -69.970276 12.509315 181.94
11169 "Caribbean Islands" "BRB" "Barbados" "West Indies" "Barbados" -59.55639 13.172262 434.64
11176 "Caribbean Islands" "VCT" "Saint Vincent and the Grenadines" "West Indies" "Saint Vincent" -61.188975 13.251309 348.62
11193 "Caribbean Islands" "LCA" "Saint Lucia" "West Indies" "Saint Lucia Island" -60.966774 13.898433 614.17
11221 "Caribbean Islands" "MTQ" "Martinique" "West Indies" "Martinique" -61.018115 14.652747 1114.86
11229 "Caribbean Islands" "DMA" "Dominica" "West Indies" "Dominica" -61.349988 15.434552 754.21
11264 "Caribbean Islands" "GLP" "Guadeloupe" "West Indies" "Marie-Galante" -61.268569 15.932114 159.86
11363 "Mesoamerica and Galapagos Islands" "HND" "Honduras" NA "Isla Santa Elena" -86.434535 16.366497 123.91
11384 "Caribbean Islands" "GLP" "Guadeloupe" "West Indies" "Ilet a Petrelluzzi" -61.575939 16.228266 1450.49
11431 "Caribbean Islands" "MSR" "Montserrat" "West Indies" "Montserrat" -62.189685 16.739452 100.65
11466 "Caribbean Islands" "ATG" "Antigua and Barbuda" "West Indies" "Antigua Island" -61.798388 17.077293 280.17
11471 "Caribbean Islands" "KNA" "Saint Kitts and Nevis" "West Indies" "Nevis" -62.58646 17.150396 95.36
11519 "Caribbean Islands" "KNA" "Saint Kitts and Nevis" "West Indies" "Saint Christopher" -62.765059 17.339227 171.76
11541 "Caribbean Islands" "ANT" "Netherlands Antilles" "West Indies" "Sint Eustatius" -62.976283 17.490842 23.44
11571 "Caribbean Islands" "ATG" "Antigua and Barbuda" "West Indies" NA -61.868177 17.690628 6.23
11573 "Caribbean Islands" "ATG" "Antigua and Barbuda" "West Indies" "Barbuda" -61.793378 17.631531 144.41
11575 "Caribbean Islands" "VIR" "Virgin Islands; U.S." "West Indies" "Saint Croix" -64.768456 17.73286 219.68
11590 "Caribbean Islands" "JAM" "Jamaica" "West Indies" "Great Goat Island" -77.059674 17.876887 5.27
11652 "Caribbean Islands" "PRI" "Puerto Rico" "West Indies" "Isla de Mona" -67.892539 18.089245 57.67
11653 "Caribbean Islands" "ANTGL" "Netherlands Antilles; Guadeloupe" "West Indies" "Ile Saint-Martin" -63.062734 18.061742 92.14
11661 "Caribbean Islands" "PRI" "Puerto Rico" "West Indies" "Isla de Vieques" -65.441002 18.123319 136.71
