"Archip" "Area" "PD_obs" "Fitted_values" "Residuals" "Rank"
"Wallacea" 331347.3 0.908426671060229 0.504895085548926 0.403531585511303 1
"Mesoamerica and Galapagos Islands" 3165.38 0.369651099503555 0.197704850140451 0.171946249363104 2
"Indo-Burma" 39846.52 0.384952461920997 0.259862408263694 0.125090053657304 3
"Madagascar and the Indian Ocean Islands" 599736.85 0.749463914190175 0.658998462722912 0.0904654514672633 4
"Philippines" 293368.15 0.564499611420246 0.480343316243298 0.0841562951769481 5
"Sri Lanka" 65627.22 0.37245118652079 0.293137741737284 0.0793134447835067 6
"Gulf of Guinea Islands" 2805.26 0.257324503830129 0.199854747285295 0.0574697565448339 7
"Papua New Guinea" 819801.62 0.772472498165914 0.770831762343796 0.00164073582211777 8
"East Melanesian Islands" 97485.15 0.321660847904937 0.327352754415091 -0.00569190651015394 9
"Sundaland" 1338195.45 1 1.00965245074088 -0.00965245074087573 10
"California Islands" 2315.41 0.189197955013408 0.205695348032655 -0.0164973930192476 11
"Polynesia-Micronesia" 23843.84 0.204512458282495 0.234373298974532 -0.0298608406920372 12
"New Caledonia" 18502.17 0.190603227747819 0.224424869549404 -0.0338216418015852 13
"Caribbean Islands" 227796.55 0.35378212070064 0.435236014025125 -0.0814538933244849 14
"Mediterranean Basin" 66907.53 0.186037938432914 0.294630311460757 -0.108592373027843 15
"Bering and East Siberian Sea Islands" 17735.32 0.110245364908336 0.222916095850627 -0.112670730942292 16
"Taiwan" 36007.81 0.110245366902215 0.254205769455354 -0.14396040255314 17
"Japan" 448483.74 0.400955555210679 0.575529107912733 -0.174573552702054 18
"Tasmania and New Zealand Islands" 334742.13 0.277346249296023 0.50704344247422 -0.229697193178197 19
