"Archip" "Nb_PAs" "Area_PAs" "Area_Archipel" "Perc_cover_PAs"
"Bering and East Siberian Sea Islands" 1 329.938877517462 17734.5549558154 1.8604294178201
"California Islands" 5 2487.43281846771 2315.55962589717 100
"Caribbean Islands" 503 39780.5621975285 227803.080290873 17.4626972325107
"East Melanesian Islands" 2 15.3464312249642 97487.9415393589 0.015741876361979
"Gulf of Guinea Islands" 2 833.311256445856 2805.72394128199 29.7004008193728
"Indo-Burma" 4 847.163686273221 39846.6976884465 2.12605745373689
"Japan" 3702 54586.5250133455 448489.835874381 12.171184416459
"Madagascar and the Indian Ocean Islands" 97 41884.4416417122 599741.502965466 6.98374907099334
"Mediterranean Basin" 456 6349.2611433249 66911.7921550813 9.48900177207813
"Mesoamerica and Galapagos Islands" 5 2876.30918936661 3166.42893854153 90.8376358729039
"New Caledonia" 21 445.563884982652 18505.6914223114 2.40771271288711
"Papua New Guinea" 33 49095.5860144181 819816.27069223 5.98860839550831
"Philippines" 49 14919.220467452 293381.128312119 5.08526930593159
"Polynesia-Micronesia" 44 725.132312291456 23841.7327826081 3.04144132015614
"Sri Lanka" 520 18812.5250350368 65627.9945492717 28.6653967780668
"Sundaland" 443 123719.693814615 1338211.43560079 9.24515293497487
"Taiwan" 80 7290.47849293403 36008.4216504979 20.2465927657044
"Tasmania and New Zealand Islands" 11070 87368.2306338906 334743.904386894 26.1000213861732
"Wallacea" 71 24592.5390253466 331364.868573683 7.42158911751931
