"Archip" "Area" "FD_obs" "Fitted_values" "Residuals" "Rank"
"Wallacea" 331347.3 0.890032983707737 0.374937543614625 0.515095440093112 1
"Madagascar and the Indian Ocean Islands" 599736.85 1 0.560251741980877 0.439748258019123 2
"Mesoamerica and Galapagos Islands" 3165.38 0.182615615700143 0.0197280770174923 0.16288753868265 3
"Indo-Burma" 39846.52 0.240484238700713 0.0797940338741706 0.160690204826543 4
"Philippines" 293368.15 0.481777077218724 0.34385558649058 0.137921490728144 5
"Gulf of Guinea Islands" 2805.26 0.0147953295683971 0.0188577421119486 -0.00406241254355155 6
"Sundaland" 1338195.45 0.888495108738763 0.900816865965346 -0.0123217572265828 7
"Sri Lanka" 65627.22 0.101100565763986 0.113910914328158 -0.0128103485641723 8
"California Islands" 2315.41 5.37360638077375e-05 0.0176471881214658 -0.0175934520576581 9
"Polynesia-Micronesia" 23843.84 0.00653021118273076 0.0565122845728952 -0.0499820733901645 10
"East Melanesian Islands" 97485.15 0.0982244069201815 0.152486194714197 -0.0542617877940158 11
"Caribbean Islands" 227796.55 0.213380791660163 0.286323826020721 -0.0729430343605582 12
"Mediterranean Basin" 66907.53 7.6765805439625e-06 0.11552753717201 -0.115519860591466 13
"Papua New Guinea" 819801.62 0.555029567629395 0.680869354536561 -0.125839786907165 14
"Tasmania and New Zealand Islands" 334742.13 0.0155476344617054 0.37764390787845 -0.362096273416745 15
"Japan" 448483.74 0.0124565313626698 0.462340720901827 -0.449884189539157 16
