"Archip" "Area" "TD_obs" "Fitted_values" "Residuals" "Rank"
"Madagascar and the Indian Ocean Islands" 599736.85 1 0.554366869863427 0.445633130136573 1
"Wallacea" 331347.3 0.75 0.391603363664488 0.358396636335512 2
"East Melanesian Islands" 97485.15 0.285714285714286 0.172608287847837 0.113105997866448 3
"California Islands" 2315.41 0.119047619047619 0.0223571682675909 0.0966904507800282 4
"Mesoamerica and Galapagos Islands" 3165.38 0.119047619047619 0.0240693425033716 0.0949782765442474 5
"Gulf of Guinea Islands" 2805.26 0.0595238095238095 0.0232802486506462 0.0362435608731633 6
"Sri Lanka" 65627.22 0.166666666666667 0.131000956669134 0.0356657099975324 7
"Polynesia-Micronesia" 23843.84 0.0952380952380952 0.0663141796334774 0.0289239156046179 8
"Indo-Burma" 39846.52 0.119047619047619 0.0929876260359605 0.0260599930116586 9
"New Caledonia" 18502.17 0.0595238095238095 0.0565778920960288 0.00294591742778072 10
"Philippines" 293368.15 0.333333333333333 0.362763831865696 -0.0294304985323624 11
"Bering and East Siberian Sea Islands" 17735.32 0.0119047619047619 0.0551330946916104 -0.0432283327868485 12
"Sundaland" 1338195.45 0.773809523809524 0.823533670259058 -0.0497241464495347 13
"Mediterranean Basin" 66907.53 0.0714285714285714 0.1327725322285 -0.0613439607999281 14
"Caribbean Islands" 227796.55 0.238095238095238 0.308020374888022 -0.0699251367927835 15
"Taiwan" 36007.81 0.0119047619047619 0.0868614100848431 -0.0749566481800812 16
"Papua New Guinea" 819801.62 0.571428571428571 0.653273778790858 -0.0818452073622868 17
"Japan" 448483.74 0.178571428571429 0.470205193881389 -0.291633765309961 18
"Tasmania and New Zealand Islands" 334742.13 0.0714285714285714 0.394091377748784 -0.322662806320213 19
