"Archip" "Rank" "Area" "Diversity" "Curve"
"California Islands" 9 2315.41 5.37360638077375e-05 0.0176471881214658
"Gulf of Guinea Islands" 6 2805.26 0.0147953295683971 0.0188577421119486
"Mesoamerica and Galapagos Islands" 3 3165.38 0.182615615700143 0.0197280770174923
"Polynesia-Micronesia" 10 23843.84 0.00653021118273076 0.0565122845728952
"Indo-Burma" 4 39846.52 0.240484238700713 0.0797940338741706
"Sri Lanka" 8 65627.22 0.101100565763986 0.113910914328158
"Mediterranean Basin" 13 66907.53 7.6765805439625e-06 0.11552753717201
"East Melanesian Islands" 11 97485.15 0.0982244069201815 0.152486194714197
"Caribbean Islands" 12 227796.55 0.213380791660163 0.286323826020721
"Philippines" 5 293368.15 0.481777077218724 0.34385558649058
"Wallacea" 1 331347.3 0.890032983707737 0.374937543614625
"Tasmania and New Zealand Islands" 15 334742.13 0.0155476344617054 0.37764390787845
"Japan" 16 448483.74 0.0124565313626698 0.462340720901827
"Madagascar and the Indian Ocean Islands" 2 599736.85 1 0.560251741980877
"Papua New Guinea" 14 819801.62 0.555029567629395 0.680869354536561
"Sundaland" 7 1338195.45 0.888495108738763 0.900816865965346
