"Archip" "Rank" "Area" "Diversity" "Curve"
"California Islands" 11 2315.41 0.189197955013408 0.205695348032655
"Gulf of Guinea Islands" 7 2805.26 0.257324503830129 0.199854747285295
"Mesoamerica and Galapagos Islands" 2 3165.38 0.369651099503555 0.197704850140451
"Bering and East Siberian Sea Islands" 16 17735.32 0.110245364908336 0.222916095850627
"New Caledonia" 13 18502.17 0.190603227747819 0.224424869549404
"Polynesia-Micronesia" 12 23843.84 0.204512458282495 0.234373298974532
"Taiwan" 17 36007.81 0.110245366902215 0.254205769455354
"Indo-Burma" 3 39846.52 0.384952461920997 0.259862408263694
"Sri Lanka" 6 65627.22 0.37245118652079 0.293137741737284
"Mediterranean Basin" 15 66907.53 0.186037938432914 0.294630311460757
"East Melanesian Islands" 9 97485.15 0.321660847904937 0.327352754415091
"Caribbean Islands" 14 227796.55 0.35378212070064 0.435236014025125
"Philippines" 5 293368.15 0.564499611420246 0.480343316243298
"Wallacea" 1 331347.3 0.908426671060229 0.504895085548926
"Tasmania and New Zealand Islands" 19 334742.13 0.277346249296023 0.50704344247422
"Japan" 18 448483.74 0.400955555210679 0.575529107912733
"Madagascar and the Indian Ocean Islands" 4 599736.85 0.749463914190175 0.658998462722912
"Papua New Guinea" 8 819801.62 0.772472498165914 0.770831762343796
"Sundaland" 10 1338195.45 1 1.00965245074088
